Area,Status,Floor,Transaction,Furnishing,Car Parking,Bathroom,Balcony,price,BHK_type,Address,Type,luxury_type
520.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,1.35,1,Mumbai,Apartment,luxury
440.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,1.0,1.13,1,Kandivali East Mumbai,Apartment,non luxury
490.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,2.0,1.07,1,Kandivali West Mumbai,Apartment,non luxury
408.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,1.12,1,Mumbai,Apartment,semi luxury
426.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,3.0,0.68,1,Mira Road Mumbai,Apartment,luxury
505.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,0.94,1,Powai Mumbai,Apartment,non luxury
410.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,1.0,1.03,1,Goregaon West Mumbai,Apartment,non luxury
406.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,0.99,1,Dahisar East Mumbai,Apartment,non luxury
440.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,3.0,0.41,1,Nalasopara Mumbai,Apartment,non luxury
716.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,1.0,0.65,1,Virar West Mumbai,Apartment,non luxury
380.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,1.0,0.92,1,Chembur Mumbai,Apartment,non luxury
400.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,1.0,0.36,1,Virar West Mumbai,Apartment,non luxury
544.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,2.3,1,Powai Mumbai,Apartment,luxury
439.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,2.0,1.13,1,Mumbai,Apartment,semi luxury
425.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,2.0,0.6,1,Mira Road Mumbai,Apartment,semi luxury
432.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,1.19,1,Mumbai,Apartment,semi luxury
441.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,3.0,0.78,1,Mira Road Mumbai,Apartment,non luxury
490.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,0.59,1,Mira Road Mumbai,Apartment,non luxury
413.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,1.0,1.1,1,Kandivali East Mumbai,Apartment,non luxury
409.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,0.84,1,Bhandup West Mumbai,Apartment,non luxury
435.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,2.0,2.39,1,Santacruz West Mumbai,Apartment,semi luxury
466.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,3.0,0.71,1,Mira Road Mumbai,Apartment,non luxury
448.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,1.05,1,Borivali East Mumbai,Apartment,non luxury
419.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,0.88,1,Kandivali West Mumbai,Apartment,semi luxury
353.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,1.28,1,Jogeshwari East Mumbai,Apartment,non luxury
401.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,1.0,1.16,1,Kanjurmarg East Mumbai,Apartment,semi luxury
391.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,1.24,1,Goregaon West Mumbai,Apartment,luxury
373.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,3.0,0.37,1,Nalasopara Mumbai,Apartment,non luxury
500.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,2.5,1,Dadar West Mumbai,Apartment,non luxury
415.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,2.0,0.64,1,Bhayandar East Mumbai,Apartment,luxury
428.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,2.0,1.21,1,Mumbai,Apartment,non luxury
428.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,1.0,1.21,1,Mumbai,Apartment,non luxury
399.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,0.81,1,Malad East Mumbai,Apartment,non luxury
480.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,1.0,1.82,1,Dadar East Mumbai,Apartment,semi luxury
424.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,1.0,1.43,1,Mumbai,Apartment,semi luxury
407.0,Under Construction,low level,New Property,Semi-Furnished,Unknown,2.0,1.0,0.84,1,Mira Road Mumbai,Apartment,non luxury
446.0,Ready to Move,low level,New Property,Unfurnished,1 Covered,2.0,2.0,0.94,1,Malad West Mumbai,Apartment,non luxury
608.0,Under Construction,low level,New Property,Unfurnished,1 Covered,2.0,1.0,1.27,1,Govandi East Mumbai,Apartment,non luxury
460.0,Under Construction,low level,New Property,Semi-Furnished,1 Covered,1.0,2.0,1.45,1,Mazgaon Mumbai,Apartment,semi luxury
440.0,Under Construction,high level,New Property,Semi-Furnished,1 Covered,2.0,2.0,0.4,1,Nalasopara Mumbai,Apartment,non luxury
452.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,1.0,0.96,1,Jogeshwari East Mumbai,Apartment,non luxury
420.0,Under Construction,low level,New Property,Semi-Furnished,Unknown,1.0,2.0,0.89,1,Kanjurmarg East Mumbai,Apartment,luxury
410.0,Under Construction,low level,New Property,Unfurnished,1 Covered,2.0,1.0,0.92,1,Vikhroli East Mumbai,Apartment,non luxury
390.0,Under Construction,low level,New Property,Unfurnished,Unknown,2.0,2.0,0.8,1,Kurla East Mumbai,Apartment,semi luxury
365.0,Under Construction,low level,New Property,Unfurnished,1 Covered,2.0,2.0,1.65,1,Mahim Mumbai,Apartment,non luxury
475.0,Under Construction,medium level,New Property,Semi-Furnished,1 Covered,2.0,2.0,1.04,1,Chembur Mumbai,Apartment,semi luxury
453.0,Ready to Move,high level,Resale,Unfurnished,1 Covered,2.0,1.0,1.35,1,Mulund West Mumbai,Apartment,semi luxury
474.0,Ready to Move,high level,Resale,Semi-Furnished,1 Covered,1.0,1.0,1.31,1,Mulund West Mumbai,Apartment,luxury
356.0,Under Construction,high level,New Property,Unfurnished,1 Covered,2.0,1.0,0.98,1,Mumbai,Apartment,semi luxury
429.0,Ready to Move,low level,New Property,Unfurnished,1 Covered,2.0,2.0,1.39,1,Andheri East Mumbai,Apartment,semi luxury
433.0,Under Construction,medium level,New Property,Unfurnished,1 Covered,2.0,1.0,1.08,1,Mumbai,Apartment,semi luxury
381.0,Ready to Move,medium level,Resale,Semi-Furnished,1 Covered,2.0,2.0,1.4,1,Powai Mumbai,Apartment,semi luxury
427.0,Ready to Move,medium level,Resale,Unfurnished,1 Covered,2.0,1.0,1.0,1,Kandivali East Mumbai,Apartment,luxury
511.0,Ready to Move,high level,Resale,Unfurnished,1 Covered,1.0,2.0,1.75,1,Wadala East Mumbai,Apartment,semi luxury
418.0,Ready to Move,high level,Resale,Unfurnished,1 Covered,1.0,2.0,1.15,1,Kanjurmarg East Mumbai,Apartment,semi luxury
435.0,Ready to Move,high level,Resale,Unfurnished,Unknown,2.0,2.0,1.15,1,Goregaon West Mumbai,Apartment,semi luxury
480.0,Under Construction,high level,New Property,Semi-Furnished,1 Open,2.0,3.0,0.64,1,Mira Road Mumbai,Apartment,luxury
600.0,Under Construction,high level,New Property,Semi-Furnished,1 Covered,2.0,1.0,1.95,1,Worli Mumbai,Apartment,semi luxury
450.0,Under Construction,high level,New Property,Unfurnished,Unknown,2.0,2.0,1.15,1,Borivali East Mumbai,Apartment,semi luxury
