Area,Status,Floor,Transaction,Furnishing,Society,Car Parking,Bathroom,Balcony,price,BHK_type,Address,Type,Main Road,Pool,Garden/Park,pricepersqft
447.0,Under Construction,0.0,New Property,Unfurnished,Ashford Regal,Unknown,2.0,1.0,0.99,1,Bhandup West Mumbai,Apartment,1,1,1,2214.77
500.0,Under Construction,0.0,New Property,Unfurnished,Codename Triumph Tower 1,Unknown,2.0,1.0,1.4,1,Bhandup West Mumbai,Apartment,0,0,0,2800.0
392.0,Under Construction,0.0,New Property,Unfurnished,Roha Eva Aria,Unknown,2.0,1.0,1.2,1,Chembur East Mumbai,Apartment,0,0,0,3061.22
465.0,Under Construction,0.0,New Property,Unfurnished,Yash Platina,Unknown,2.0,3.0,0.41,1,Unknown,Apartment,1,1,1,881.72
441.0,Under Construction,0.0,New Property,Unfurnished,Aristone The Hyde Park,Unknown,2.0,2.0,0.77,1,Mira Road East Mumbai,Apartment,0,0,0,1746.03
480.0,Under Construction,0.0,New Property,Unfurnished,The Baya Sunrise,Unknown,2.0,1.0,1.8,1,Dadar East Mumbai,Apartment,1,0,1,3750.0
441.0,Under Construction,0.0,New Property,Unfurnished,Asshna Seabliss,Unknown,2.0,1.0,1.54,1,Andheri West Mumbai,Apartment,0,0,0,3492.06
452.0,Under Construction,0.0,New Property,Unfurnished,Godrej Urban Park,Unknown,2.0,2.0,1.35,1,Chandivali Mumbai,Apartment,0,1,1,2986.73
458.0,Under Construction,0.0,New Property,Unfurnished,Kalpataru Srishti Namaah,Unknown,2.0,1.0,0.92,1,Mira Road Area Mumbai,Apartment,1,1,1,2008.73
452.0,Under Construction,0.0,New Property,Unfurnished,Om Mayuresh,Unknown,2.0,2.0,1.01,1,Mulund East Mumbai,Apartment,0,0,0,2234.51
515.0,Under Construction,0.0,New Property,Unfurnished,Johaan Signature Isle,Unknown,2.0,2.0,2.56,1,Matunga East Mumbai,Apartment,0,0,0,4970.87
489.0,Under Construction,0.0,New Property,Unfurnished,Raheja Residency,Unknown,2.0,2.0,1.8,1,Malad East Mumbai,Apartment,1,1,1,3680.98
445.0,Under Construction,0.0,New Property,Unfurnished,Balaji Heights Redevelopment Of Rajendra Nagar Om Sairam CHS Ltd,Unknown,2.0,1.0,1.13,1,Borivali East Mumbai,Apartment,0,0,0,2539.33
520.0,Under Construction,0.0,New Property,Unfurnished,Runwal Pinnacle,Unknown,2.0,1.0,1.35,1,Unknown,Apartment,1,1,1,2596.15
440.0,Under Construction,0.0,New Property,Unfurnished,Bitcon Elysium,Unknown,1.0,1.0,1.13,1,Kandivali East Mumbai,Apartment,0,0,0,2568.18
490.0,Under Construction,0.0,New Property,Unfurnished,Arthaya,Unknown,2.0,2.0,1.07,1,Kandivali West Mumbai,Apartment,0,0,0,2183.67
408.0,Under Construction,0.0,New Property,Unfurnished,Mahindra Vista,Unknown,2.0,1.0,1.12,1,Unknown,Apartment,0,1,1,2745.1
426.0,Under Construction,0.0,New Property,Unfurnished,JP North Barcelona,Unknown,2.0,3.0,0.68,1,Mira Road East Mumbai,Apartment,1,1,1,1596.24
505.0,Under Construction,0.0,New Property,Unfurnished,ISLE OF Calm Tower 2,Unknown,2.0,1.0,0.94,1,Powai Mumbai,Apartment,0,0,0,1861.39
410.0,Under Construction,0.0,New Property,Unfurnished,Opulence,Unknown,1.0,1.0,1.03,1,Goregaon West Mumbai,Apartment,0,0,0,2512.2
